N_awal,P_awal,K_awal,N_target,P_target,K_target,Kekurangan_N,Kekurangan_P,Kekurangan_K,Dosis_Pupuk_Gram
88.3,31.3,187.8,30,40,100,0.0,8.7,0.0,1.1
0.0,55.5,364.0,30,40,100,30.0,0.0,0.0,5.0
9.8,0.0,76.8,30,40,100,20.2,40.0,23.2,5.0
28.8,43.1,188.0,30,40,100,1.2,0.0,0.0,0.2
11.6,0.0,155.2,30,40,100,18.4,40.0,0.0,5.0
0.0,49.5,153.8,30,40,100,30.0,0.0,0.0,5.0
27.9,0.0,216.6,30,40,100,2.1,40.0,0.0,5.0
0.0,2.0,39.7,30,40,100,30.0,38.0,60.3,5.0
39.4,25.4,33.3,30,40,100,0.0,14.6,66.7,3.3
0.0,0.0,99.3,30,40,100,30.0,40.0,0.7,5.0
70.1,17.3,58.8,30,40,100,0.0,22.7,41.2,2.8
3.6,0.0,99.2,30,40,100,26.4,40.0,0.8,5.0
16.8,0.0,199.5,30,40,100,13.2,40.0,0.0,5.0
49.1,77.4,34.9,30,40,100,0.0,0.0,65.1,3.3
0.0,0.0,48.9,30,40,100,30.0,40.0,51.1,5.0
32.4,29.3,87.6,30,40,100,0.0,10.7,12.4,1.3
63.2,66.7,55.1,30,40,100,0.0,0.0,44.9,2.2
0.0,11.7,0.0,30,40,100,30.0,28.3,100.0,5.0
31.2,3.2,26.7,30,40,100,0.0,36.8,73.3,4.6
33.4,45.6,128.9,30,40,100,0.0,0.0,0.0,0.0
48.2,81.4,189.4,30,40,100,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30,40,100,30.0,40.0,100.0,5.0
0.0,30.4,0.0,30,40,100,30.0,9.6,100.0,5.0
40.8,0.0,75.9,30,40,100,0.0,40.0,24.1,5.0
34.4,20.6,0.0,30,40,100,0.0,19.4,100.0,5.0
33.1,37.8,37.6,30,40,100,0.0,2.2,62.4,3.1
35.8,2.1,0.0,30,40,100,0.0,37.9,100.0,5.0
6.6,18.1,183.9,30,40,100,23.4,21.9,0.0,3.9
32.6,0.0,11.5,30,40,100,0.0,40.0,88.5,5.0
34.3,39.5,206.8,30,40,100,0.0,0.5,0.0,0.1
5.6,78.9,163.3,30,40,100,24.4,0.0,0.0,4.1
79.1,0.0,21.4,30,40,100,0.0,40.0,78.6,5.0
39.4,11.4,0.0,30,40,100,0.0,28.6,100.0,5.0
0.0,56.7,57.9,30,40,100,30.0,0.0,42.1,5.0
44.6,85.2,65.1,30,40,100,0.0,0.0,34.9,1.7
0.0,0.0,101.4,30,40,100,30.0,40.0,0.0,5.0
48.4,29.7,10.9,30,40,100,0.0,10.3,89.1,4.5
58.9,47.8,133.7,30,40,100,0.0,0.0,0.0,0.0
2.6,32.3,94.9,30,40,100,27.4,7.7,5.1,4.6
53.4,0.0,46.0,30,40,100,0.0,40.0,54.0,5.0
37.7,56.6,16.1,30,40,100,0.0,0.0,83.9,4.2
49.4,97.6,58.6,30,40,100,0.0,0.0,41.4,2.1
80.0,41.1,7.6,30,40,100,0.0,0.0,92.4,4.6
19.0,0.0,78.2,30,40,100,11.0,40.0,21.8,5.0
4.5,15.8,80.4,30,40,100,25.5,24.2,19.6,4.2
0.6,107.7,94.6,30,40,100,29.4,0.0,5.4,4.9
2.7,73.1,215.9,30,40,100,27.3,0.0,0.0,4.6
23.8,62.2,62.8,30,40,100,6.2,0.0,37.2,1.9
35.7,50.8,154.5,30,40,100,0.0,0.0,0.0,0.0
33.8,9.8,92.0,30,40,100,0.0,30.2,8.0,3.8
49.5,28.4,54.3,30,40,100,0.0,11.6,45.7,2.3
26.3,33.3,63.9,30,40,100,3.7,6.7,36.1,1.8
67.3,58.6,68.8,30,40,100,0.0,0.0,31.2,1.6
18.4,97.2,96.1,30,40,100,11.6,0.0,3.9,1.9
103.4,81.5,0.0,30,40,100,0.0,0.0,100.0,5.0
43.8,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
1.5,45.5,126.3,30,40,100,28.5,0.0,0.0,4.8
0.0,66.1,145.9,30,40,100,30.0,0.0,0.0,5.0
39.7,61.4,133.6,30,40,100,0.0,0.0,0.0,0.0
19.6,11.1,86.0,30,40,100,10.4,28.9,14.0,3.6
46.3,153.7,135.4,30,40,100,0.0,0.0,0.0,0.0
39.4,0.0,131.0,30,40,100,0.0,40.0,0.0,5.0
23.9,0.0,137.0,30,40,100,6.1,40.0,0.0,5.0
1.8,45.8,4.2,30,40,100,28.2,0.0,95.8,4.8
0.0,121.6,0.0,30,40,100,30.0,0.0,100.0,5.0
13.2,2.8,42.2,30,40,100,16.8,37.2,57.8,4.6
50.3,25.7,72.1,30,40,100,0.0,14.3,27.9,1.8
32.0,79.8,54.0,30,40,100,0.0,0.0,46.0,2.3
0.0,35.7,0.0,30,40,100,30.0,4.3,100.0,5.0
30.9,23.0,212.3,30,40,100,0.0,17.0,0.0,2.1
36.9,59.2,51.4,30,40,100,0.0,0.0,48.6,2.4
0.8,47.4,87.4,30,40,100,29.2,0.0,12.6,4.9
30.3,77.9,173.9,30,40,100,0.0,0.0,0.0,0.0
27.6,88.4,0.0,30,40,100,2.4,0.0,100.0,5.0
0.0,48.8,32.2,30,40,100,30.0,0.0,67.8,5.0
36.1,48.2,42.3,30,40,100,0.0,0.0,57.7,2.9
41.9,45.1,46.4,30,40,100,0.0,0.0,53.6,2.7
56.8,56.1,59.5,30,40,100,0.0,0.0,40.5,2.0
56.0,38.7,190.2,30,40,100,0.0,1.3,0.0,0.2
0.0,36.4,127.8,30,40,100,30.0,3.6,0.0,5.0
0.0,84.6,150.8,30,40,100,30.0,0.0,0.0,5.0
40.6,97.5,77.3,30,40,100,0.0,0.0,22.7,1.1
40.6,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
40.6,36.9,0.0,30,40,100,0.0,3.1,100.0,5.0
135.7,8.7,0.0,30,40,100,0.0,31.3,100.0,5.0
42.2,23.9,102.5,30,40,100,0.0,16.1,0.0,2.0
58.3,52.6,76.1,30,40,100,0.0,0.0,23.9,1.2
53.1,63.4,56.5,30,40,100,0.0,0.0,43.5,2.2
44.5,31.9,43.8,30,40,100,0.0,8.1,56.2,2.8
17.0,0.0,235.7,30,40,100,13.0,40.0,0.0,5.0
47.6,0.0,7.1,30,40,100,0.0,40.0,92.9,5.0
3.9,72.5,148.3,30,40,100,26.1,0.0,0.0,4.4
19.2,0.0,73.6,30,40,100,10.8,40.0,26.4,5.0
12.1,84.2,68.6,30,40,100,17.9,0.0,31.4,3.0
28.3,57.4,168.4,30,40,100,1.7,0.0,0.0,0.3
91.9,89.4,191.4,30,40,100,0.0,0.0,0.0,0.0
0.0,28.5,54.2,30,40,100,30.0,11.5,45.8,5.0
45.5,0.0,137.9,30,40,100,0.0,40.0,0.0,5.0
0.0,53.8,102.8,30,40,100,30.0,0.0,0.0,5.0
12.5,87.7,74.1,30,40,100,17.5,0.0,25.9,2.9
57.0,73.7,90.0,30,40,100,0.0,0.0,10.0,0.5
27.8,9.8,18.0,30,40,100,2.2,30.2,82.0,4.1
0.0,39.9,48.8,30,40,100,30.0,0.1,51.2,5.0
5.6,15.0,26.7,30,40,100,24.4,25.0,73.3,4.1
45.3,3.5,146.2,30,40,100,0.0,36.5,0.0,4.6
5.2,74.9,65.8,30,40,100,24.8,0.0,34.2,4.1
32.1,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
27.2,0.5,15.2,30,40,100,2.8,39.5,84.8,4.9
7.4,0.0,0.0,30,40,100,22.6,40.0,100.0,5.0
87.0,0.0,33.6,30,40,100,0.0,40.0,66.4,5.0
44.0,42.3,76.5,30,40,100,0.0,0.0,23.5,1.2
0.0,83.2,62.5,30,40,100,30.0,0.0,37.5,5.0
31.3,29.0,233.2,30,40,100,0.0,11.0,0.0,1.4
7.1,0.0,119.9,30,40,100,22.9,40.0,0.0,5.0
50.2,70.3,116.3,30,40,100,0.0,0.0,0.0,0.0
3.4,104.3,0.0,30,40,100,26.6,0.0,100.0,5.0
22.7,10.4,44.1,30,40,100,7.3,29.6,55.9,3.7
40.3,17.2,34.2,30,40,100,0.0,22.8,65.8,3.3
50.6,57.2,10.1,30,40,100,0.0,0.0,89.9,4.5
0.0,101.7,9.0,30,40,100,30.0,0.0,91.0,5.0
16.4,15.5,0.0,30,40,100,13.6,24.5,100.0,5.0
12.4,0.0,0.0,30,40,100,17.6,40.0,100.0,5.0
7.3,61.9,144.0,30,40,100,22.7,0.0,0.0,3.8
76.2,68.6,62.0,30,40,100,0.0,0.0,38.0,1.9
37.5,36.7,32.7,30,40,100,0.0,3.3,67.3,3.4
0.0,14.0,73.1,30,40,100,30.0,26.0,26.9,5.0
52.1,76.5,167.6,30,40,100,0.0,0.0,0.0,0.0
86.4,57.7,73.8,30,40,100,0.0,0.0,26.2,1.3
55.4,5.5,117.1,30,40,100,0.0,34.5,0.0,4.3
0.0,38.4,5.2,30,40,100,30.0,1.6,94.8,5.0
12.2,0.0,23.6,30,40,100,17.8,40.0,76.4,5.0
62.0,64.1,102.0,30,40,100,0.0,0.0,0.0,0.0
5.8,25.9,226.1,30,40,100,24.2,14.1,0.0,4.0
38.6,18.9,188.8,30,40,100,0.0,21.1,0.0,2.6
48.0,35.1,120.5,30,40,100,0.0,4.9,0.0,0.6
0.0,38.1,85.7,30,40,100,30.0,1.9,14.3,5.0
24.3,72.5,186.5,30,40,100,5.7,0.0,0.0,0.9
0.0,60.2,137.6,30,40,100,30.0,0.0,0.0,5.0
0.0,30.2,0.0,30,40,100,30.0,9.8,100.0,5.0
18.8,67.2,0.0,30,40,100,11.2,0.0,100.0,5.0
0.0,52.6,100.8,30,40,100,30.0,0.0,0.0,5.0
72.4,19.3,0.0,30,40,100,0.0,20.7,100.0,5.0
0.0,31.4,1.1,30,40,100,30.0,8.6,98.9,5.0
13.4,30.5,17.1,30,40,100,16.6,9.5,82.9,4.1
29.7,56.8,52.8,30,40,100,0.3,0.0,47.2,2.4
67.0,21.7,50.3,30,40,100,0.0,18.3,49.7,2.5
0.0,20.7,50.2,30,40,100,30.0,19.3,49.8,5.0
59.1,115.7,140.1,30,40,100,0.0,0.0,0.0,0.0
26.2,74.3,52.1,30,40,100,3.8,0.0,47.9,2.4
0.0,5.8,42.5,30,40,100,30.0,34.2,57.5,5.0
39.1,59.4,0.0,30,40,100,0.0,0.0,100.0,5.0
31.6,41.2,156.1,30,40,100,0.0,0.0,0.0,0.0
8.9,52.2,19.3,30,40,100,21.1,0.0,80.7,4.0
27.9,42.0,0.0,30,40,100,2.1,0.0,100.0,5.0
15.0,84.3,90.7,30,40,100,15.0,0.0,9.3,2.5
29.2,50.4,11.6,30,40,100,0.8,0.0,88.4,4.4
44.8,33.9,31.1,30,40,100,0.0,6.1,68.9,3.4
71.1,78.4,94.3,30,40,100,0.0,0.0,5.7,0.3
0.0,45.8,47.2,30,40,100,30.0,0.0,52.8,5.0
86.7,41.3,259.9,30,40,100,0.0,0.0,0.0,0.0
0.0,49.1,67.5,30,40,100,30.0,0.0,32.5,5.0
21.6,32.7,123.3,30,40,100,8.4,7.3,0.0,1.4
42.7,36.8,0.0,30,40,100,0.0,3.2,100.0,5.0
34.0,12.8,4.1,30,40,100,0.0,27.2,95.9,4.8
8.2,6.2,0.0,30,40,100,21.8,33.8,100.0,5.0
20.0,0.0,0.0,30,40,100,10.0,40.0,100.0,5.0
11.9,0.0,107.0,30,40,100,18.1,40.0,0.0,5.0
9.2,1.0,157.0,30,40,100,20.8,39.0,0.0,4.9
50.1,29.4,101.3,30,40,100,0.0,10.6,0.0,1.3
36.1,40.6,55.2,30,40,100,0.0,0.0,44.8,2.2
6.2,25.5,22.6,30,40,100,23.8,14.5,77.4,4.0
51.6,0.0,163.3,30,40,100,0.0,40.0,0.0,5.0
34.7,99.8,240.5,30,40,100,0.0,0.0,0.0,0.0
49.1,80.2,84.4,30,40,100,0.0,0.0,15.6,0.8
43.9,54.4,149.3,30,40,100,0.0,0.0,0.0,0.0
2.3,113.2,101.2,30,40,100,27.7,0.0,0.0,4.6
10.0,0.0,134.4,30,40,100,20.0,40.0,0.0,5.0
47.2,112.4,0.0,30,40,100,0.0,0.0,100.0,5.0
43.3,0.0,34.1,30,40,100,0.0,40.0,65.9,5.0
25.4,46.1,105.4,30,40,100,4.6,0.0,0.0,0.8
29.3,0.0,171.3,30,40,100,0.7,40.0,0.0,5.0
62.3,37.0,7.5,30,40,100,0.0,3.0,92.5,4.6
9.1,52.0,0.0,30,40,100,20.9,0.0,100.0,5.0
41.5,30.2,33.3,30,40,100,0.0,9.8,66.7,3.3
20.2,65.2,155.0,30,40,100,9.8,0.0,0.0,1.6
19.8,40.4,0.0,30,40,100,10.2,0.0,100.0,5.0
57.2,15.4,0.0,30,40,100,0.0,24.6,100.0,5.0
49.5,13.6,86.1,30,40,100,0.0,26.4,13.9,3.3
49.1,69.1,64.1,30,40,100,0.0,0.0,35.9,1.8
63.1,10.1,121.4,30,40,100,0.0,29.9,0.0,3.7
26.5,73.3,0.0,30,40,100,3.5,0.0,100.0,5.0
45.4,85.7,47.3,30,40,100,0.0,0.0,52.7,2.6
17.1,0.0,169.9,30,40,100,12.9,40.0,0.0,5.0
35.2,82.0,0.0,30,40,100,0.0,0.0,100.0,5.0
22.2,119.4,192.6,30,40,100,7.8,0.0,0.0,1.3
28.7,46.6,0.0,30,40,100,1.3,0.0,100.0,5.0
42.9,60.6,142.0,30,40,100,0.0,0.0,0.0,0.0
2.7,78.2,43.4,30,40,100,27.3,0.0,56.6,4.6
85.5,25.4,0.0,30,40,100,0.0,14.6,100.0,5.0
0.0,43.8,33.4,30,40,100,30.0,0.0,66.6,5.0
0.0,0.0,117.4,30,40,100,30.0,40.0,0.0,5.0
58.9,42.0,72.9,30,40,100,0.0,0.0,27.1,1.4
48.5,56.5,163.7,30,40,100,0.0,0.0,0.0,0.0
43.7,57.2,189.3,30,40,100,0.0,0.0,0.0,0.0
43.8,79.3,0.0,30,40,100,0.0,0.0,100.0,5.0
25.6,5.3,0.0,30,40,100,4.4,34.7,100.0,5.0
0.4,15.0,0.0,30,40,100,29.6,25.0,100.0,5.0
28.1,112.7,1.0,30,40,100,1.9,0.0,99.0,5.0
6.7,30.4,162.5,30,40,100,23.3,9.6,0.0,3.9
53.7,44.5,118.7,30,40,100,0.0,0.0,0.0,0.0
21.8,33.8,29.5,30,40,100,8.2,6.2,70.5,3.5
2.4,3.4,72.6,30,40,100,27.6,36.6,27.4,4.6
16.8,101.8,186.7,30,40,100,13.2,0.0,0.0,2.2
37.7,15.2,227.4,30,40,100,0.0,24.8,0.0,3.1
9.9,0.0,94.4,30,40,100,20.1,40.0,5.6,5.0
2.5,18.3,0.0,30,40,100,27.5,21.7,100.0,5.0
32.9,0.0,97.5,30,40,100,0.0,40.0,2.5,5.0
32.9,10.2,148.9,30,40,100,0.0,29.8,0.0,3.7
11.5,0.0,91.6,30,40,100,18.5,40.0,8.4,5.0
12.5,61.3,132.1,30,40,100,17.5,0.0,0.0,2.9
32.6,9.3,102.3,30,40,100,0.0,30.7,0.0,3.8
0.0,72.2,0.0,30,40,100,30.0,0.0,100.0,5.0
0.0,92.7,2.0,30,40,100,30.0,0.0,98.0,5.0
5.5,67.9,47.6,30,40,100,24.5,0.0,52.4,4.1
19.9,27.8,159.4,30,40,100,10.1,12.2,0.0,1.7
34.8,42.1,11.7,30,40,100,0.0,0.0,88.3,4.4
68.0,0.0,110.3,30,40,100,0.0,40.0,0.0,5.0
50.4,31.1,98.0,30,40,100,0.0,8.9,2.0,1.1
21.4,1.8,201.4,30,40,100,8.6,38.2,0.0,4.8
25.4,64.4,70.1,30,40,100,4.6,0.0,29.9,1.5
0.0,140.0,0.0,30,40,100,30.0,0.0,100.0,5.0
25.4,56.6,125.7,30,40,100,4.6,0.0,0.0,0.8
17.7,0.0,245.9,30,40,100,12.3,40.0,0.0,5.0
35.1,21.9,130.9,30,40,100,0.0,18.1,0.0,2.3
2.4,41.4,10.0,30,40,100,27.6,0.0,90.0,4.6
40.7,40.0,0.0,30,40,100,0.0,0.0,100.0,5.0
69.6,7.0,0.0,30,40,100,0.0,33.0,100.0,5.0
22.9,46.3,235.1,30,40,100,7.1,0.0,0.0,1.2
37.4,0.0,47.1,30,40,100,0.0,40.0,52.9,5.0
45.6,0.0,20.1,30,40,100,0.0,40.0,79.9,5.0
14.5,62.4,60.7,30,40,100,15.5,0.0,39.3,2.6
32.3,0.0,47.9,30,40,100,0.0,40.0,52.1,5.0
26.3,58.1,199.9,30,40,100,3.7,0.0,0.0,0.6
28.7,0.0,0.0,30,40,100,1.3,40.0,100.0,5.0
3.9,107.5,168.7,30,40,100,26.1,0.0,0.0,4.4
26.6,5.3,83.3,30,40,100,3.4,34.7,16.7,4.3
40.1,27.4,170.8,30,40,100,0.0,12.6,0.0,1.6
67.3,49.8,201.1,30,40,100,0.0,0.0,0.0,0.0
53.3,13.7,80.3,30,40,100,0.0,26.3,19.7,3.3
87.3,42.2,48.1,30,40,100,0.0,0.0,51.9,2.6
4.1,59.6,78.8,30,40,100,25.9,0.0,21.2,4.3
50.8,75.1,65.9,30,40,100,0.0,0.0,34.1,1.7
31.2,68.3,0.0,30,40,100,0.0,0.0,100.0,5.0
88.3,29.5,198.7,30,40,100,0.0,10.5,0.0,1.3
2.9,30.5,93.3,30,40,100,27.1,9.5,6.7,4.5
2.0,131.0,0.0,30,40,100,28.0,0.0,100.0,5.0
8.9,74.7,0.0,30,40,100,21.1,0.0,100.0,5.0
0.0,0.0,0.0,30,40,100,30.0,40.0,100.0,5.0
11.0,40.5,135.6,30,40,100,19.0,0.0,0.0,3.2
4.3,23.0,23.6,30,40,100,25.7,17.0,76.4,4.3
30.2,31.0,36.8,30,40,100,0.0,9.0,63.2,3.2
35.7,0.0,112.9,30,40,100,0.0,40.0,0.0,5.0
79.4,19.9,31.9,30,40,100,0.0,20.1,68.1,3.4
53.0,109.4,117.6,30,40,100,0.0,0.0,0.0,0.0
9.5,59.8,81.2,30,40,100,20.5,0.0,18.8,3.4
0.4,0.0,66.7,30,40,100,29.6,40.0,33.3,5.0
40.0,85.4,0.0,30,40,100,0.0,0.0,100.0,5.0
0.0,80.3,7.4,30,40,100,30.0,0.0,92.6,5.0
78.1,22.0,122.1,30,40,100,0.0,18.0,0.0,2.2
59.5,65.3,18.5,30,40,100,0.0,0.0,81.5,4.1
12.6,1.9,170.7,30,40,100,17.4,38.1,0.0,4.8
0.0,17.5,262.7,30,40,100,30.0,22.5,0.0,5.0
64.5,96.8,126.4,30,40,100,0.0,0.0,0.0,0.0
22.7,25.5,193.9,30,40,100,7.3,14.5,0.0,1.8
61.2,0.0,131.6,30,40,100,0.0,40.0,0.0,5.0
0.0,33.9,30.4,30,40,100,30.0,6.1,69.6,5.0
8.9,33.3,89.6,30,40,100,21.1,6.7,10.4,3.5
26.1,84.7,235.9,30,40,100,3.9,0.0,0.0,0.6
27.3,37.0,31.3,30,40,100,2.7,3.0,68.7,3.4
13.1,19.5,0.0,30,40,100,16.9,20.5,100.0,5.0
43.7,78.5,0.0,30,40,100,0.0,0.0,100.0,5.0
0.0,41.3,56.0,30,40,100,30.0,0.0,44.0,5.0
