N_Awal,P_Awal,K_Awal,Volume_Air_ml,Metode_Pemberian,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
14.5,21.6,47.3,0,0,10.7,13.9,25.5,0.0
16.4,21.1,46.2,0,0,10.3,11.5,28.5,0.0
16.6,23.1,47.6,0,0,10.1,11.7,29.1,0.0
16.5,22.5,51.8,0,0,7.9,12.1,29.5,0.0
16.7,21.7,47.1,0,0,10.9,16.3,30.9,0.0
16.1,24.3,43.2,0,0,8.8,13.5,26.5,0.0
17.1,22.1,44.4,0,0,11.0,10.8,26.6,0.0
16.2,22.0,45.0,0,0,8.9,15.4,25.8,0.0
16.2,21.3,47.3,0,0,13.2,15.3,21.9,0.0
16.9,20.8,45.5,0,0,8.8,13.8,29.5,0.0
16.4,20.7,47.4,0,0,9.3,12.7,33.3,0.0
15.5,23.3,44.9,0,0,13.2,16.1,23.4,0.0
15.9,18.8,44.5,0,0,10.7,15.5,25.2,0.0
14.6,21.6,46.2,0,0,9.6,11.5,32.9,0.0
16.0,21.0,46.7,0,0,12.2,11.1,31.5,0.0
15.6,22.1,47.0,0,0,10.3,12.8,28.2,0.0
14.0,21.8,46.9,0,0,12.4,11.5,34.4,0.0
15.5,21.4,47.3,0,0,10.4,12.8,27.4,0.0
16.3,22.8,46.9,0,0,10.5,12.6,30.7,0.0
16.6,22.0,46.2,0,0,8.8,12.9,30.2,0.0
15.8,21.8,47.6,0,0,11.9,12.8,29.6,0.0
16.0,22.7,45.5,0,0,11.2,15.6,31.9,0.0
16.6,21.2,49.1,0,0,10.5,13.7,28.3,0.0
16.8,22.6,46.9,0,0,8.5,11.6,31.5,0.0
15.3,23.0,45.8,0,0,10.0,12.2,28.2,0.0
15.4,21.2,46.4,0,0,8.8,13.4,29.2,0.0
16.2,20.6,43.9,0,0,10.4,13.0,26.6,0.0
17.5,22.9,45.8,0,0,8.9,13.6,28.9,0.0
15.7,22.3,44.8,0,0,10.0,12.0,27.9,0.0
16.4,22.7,45.4,0,0,10.8,17.1,27.7,0.0
15.2,22.0,46.7,0,0,10.3,14.0,28.3,0.0
15.2,22.9,46.3,0,0,12.2,15.9,34.5,0.0
15.4,19.9,45.2,0,0,13.3,12.4,25.5,0.0
17.9,23.0,45.1,0,0,8.9,14.3,29.0,0.0
17.8,23.2,45.3,0,0,8.7,15.0,24.0,0.0
17.2,20.4,45.1,0,0,7.4,16.7,27.7,0.0
16.6,20.9,45.8,0,0,10.0,14.1,26.6,0.0
14.9,20.5,47.9,0,0,10.2,15.0,30.1,0.0
16.1,23.2,46.1,0,0,10.5,12.5,32.7,0.0
17.0,22.6,48.1,0,0,13.1,17.5,27.3,0.0
14.2,20.8,42.9,0,0,8.6,15.4,31.2,0.0
16.1,23.6,43.9,0,0,9.6,15.4,32.5,0.0
16.0,19.9,45.9,0,0,7.4,13.9,29.2,0.0
15.1,21.5,44.4,0,0,8.0,15.3,29.1,0.0
16.5,21.5,44.8,0,0,9.9,15.9,25.0,0.0
14.8,24.0,46.1,0,0,9.8,11.9,26.3,0.0
15.8,22.6,47.1,0,0,9.0,14.4,27.7,0.0
13.7,20.5,48.1,0,0,9.2,12.8,27.2,0.0
16.3,25.1,47.7,0,0,12.5,13.5,29.7,0.0
16.2,21.2,43.9,0,0,9.8,12.1,23.2,0.0
16.9,22.0,48.2,0,0,9.0,11.8,33.1,0.0
16.5,21.0,45.7,0,0,10.1,12.3,32.6,0.0
17.9,20.6,46.8,0,0,8.7,11.2,30.8,0.0
15.1,22.0,44.8,0,0,9.0,13.0,26.2,0.0
15.1,21.4,47.1,0,0,10.4,13.9,27.3,0.0
16.8,20.3,46.8,0,0,10.8,12.0,28.3,0.0
14.2,20.4,46.1,0,0,9.0,15.1,25.7,0.0
14.3,21.9,44.2,0,0,10.4,12.2,29.9,0.0
15.6,23.0,45.1,0,0,9.0,14.1,25.4,0.0
17.4,19.5,44.8,0,0,11.3,11.7,29.6,0.0
15.4,22.1,45.8,0,0,10.9,13.6,29.1,0.0
15.6,21.5,45.4,0,0,11.8,14.5,29.0,0.0
18.1,22.9,45.5,0,0,10.6,13.2,28.9,0.0
15.0,20.1,45.5,0,0,11.8,13.2,21.9,0.0
15.8,22.8,42.7,0,0,10.0,17.4,29.0,0.0
17.1,22.3,45.4,0,0,10.4,15.5,23.6,0.0
16.2,21.5,44.7,0,0,10.9,18.5,28.5,0.0
15.5,22.5,46.5,0,0,11.2,12.3,28.2,0.0
15.0,21.6,46.6,0,0,11.6,13.0,27.2,0.0
17.4,22.4,48.8,0,0,11.1,12.2,30.6,0.0
17.5,22.7,45.9,0,0,8.8,11.5,22.7,0.0
16.1,22.1,47.1,0,0,10.4,11.7,35.3,0.0
16.5,23.9,48.0,0,0,10.7,14.4,25.6,0.0
15.9,22.1,47.6,0,0,12.4,13.0,25.0,0.0
15.6,21.0,43.5,0,0,7.5,17.1,27.5,0.0
14.7,21.7,48.5,0,0,11.2,14.1,24.1,0.0
15.7,19.3,45.9,0,0,9.6,11.0,27.3,0.0
17.1,21.7,44.3,0,0,9.7,15.4,33.5,0.0
16.0,22.2,45.8,0,0,13.9,14.1,28.0,0.0
15.5,21.3,46.2,0,0,9.1,12.9,27.9,0.0
17.1,23.2,42.9,0,0,9.6,17.0,20.0,0.0
15.2,20.9,48.6,0,0,9.5,13.3,23.8,0.0
14.9,21.5,46.7,0,0,11.4,16.5,30.2,0.0
15.6,22.7,46.7,0,0,8.2,15.4,27.3,0.0
16.6,22.6,45.5,0,0,9.5,16.3,24.8,0.0
15.8,21.5,47.6,0,0,10.5,11.5,30.8,0.0
16.6,20.7,48.6,0,0,8.9,11.2,23.3,0.0
15.9,21.5,46.6,0,0,6.9,17.4,28.6,0.0
16.2,21.6,45.9,0,0,9.9,16.2,28.3,0.0
16.7,22.2,45.7,0,0,10.5,10.6,24.0,0.0
15.2,22.2,44.5,0,0,10.0,14.7,26.4,0.0
16.5,22.3,47.5,0,0,10.6,10.6,31.1,0.0
14.7,21.4,46.0,0,0,12.5,16.0,22.5,0.0
15.2,21.4,43.9,0,0,10.8,12.5,28.6,0.0
17.1,21.1,49.9,0,0,8.6,11.3,25.1,0.0
16.7,21.4,46.2,0,0,10.7,14.4,25.4,0.0
15.3,22.0,48.7,0,0,13.8,13.8,31.4,0.0
15.4,22.6,47.5,0,0,9.1,17.6,30.1,0.0
15.8,21.9,46.9,0,0,10.9,10.9,25.8,0.0
16.6,22.6,47.6,0,0,10.3,11.3,29.1,0.0
14.3,22.4,46.3,0,0,11.3,14.9,27.8,0.0
17.1,22.0,47.0,0,0,10.4,11.4,24.8,0.0
15.5,22.1,45.3,0,0,10.0,14.1,30.8,0.0
15.5,23.3,44.7,0,0,9.3,13.4,28.7,0.0
16.2,23.0,43.8,0,0,9.7,13.1,32.3,0.0
17.1,21.5,48.1,0,0,10.4,15.8,28.2,0.0
17.5,23.6,45.2,0,0,13.4,13.3,26.7,0.0
15.1,21.0,44.8,0,0,9.4,13.4,24.0,0.0
15.0,23.0,45.7,0,0,9.9,14.5,32.7,0.0
16.4,22.2,46.7,0,0,9.9,15.3,24.6,0.0
15.5,21.4,45.2,0,0,10.4,18.9,26.1,0.0
15.4,21.2,46.7,0,0,9.0,16.4,32.3,0.0
14.5,23.5,48.7,0,0,9.2,15.3,28.6,0.0
16.3,22.7,49.0,0,0,9.1,13.2,28.9,0.0
15.3,22.0,48.7,0,0,9.7,12.4,23.9,0.0
17.2,24.5,45.2,0,0,9.2,14.4,28.0,0.0
17.8,22.6,45.5,0,0,9.3,16.1,30.0,0.0
16.5,23.1,47.8,0,0,10.9,16.2,30.5,0.0
16.1,23.2,44.8,0,0,12.1,15.3,27.5,0.0
17.3,22.2,46.1,0,0,10.6,13.2,28.1,0.0
18.2,21.7,46.3,0,0,8.0,15.5,29.9,0.0
16.3,22.6,46.3,0,0,10.4,17.2,27.7,0.0
15.0,22.1,44.9,0,0,9.3,14.4,31.2,0.0
16.4,23.6,45.9,0,0,11.8,11.0,26.3,0.0
13.8,22.4,45.2,0,0,9.2,17.8,23.7,0.0
15.4,20.7,47.3,0,0,8.5,15.4,28.7,0.0
14.9,20.5,45.0,0,0,11.0,13.8,33.5,0.0
16.4,20.7,48.2,0,0,9.9,14.5,27.3,0.0
16.5,22.6,46.7,0,0,9.9,16.2,29.0,0.0
16.7,21.9,48.2,0,0,11.0,16.7,28.6,0.0
14.6,22.1,45.0,0,0,9.0,17.6,27.9,0.0
14.1,21.5,42.4,0,0,11.3,12.7,26.7,0.0
16.4,21.0,45.9,0,0,7.6,15.5,30.4,0.0
16.9,21.8,46.0,0,0,10.0,11.7,32.5,0.0
15.3,21.0,45.6,0,0,10.3,9.9,27.3,0.0
16.6,23.4,47.4,0,0,12.7,15.3,26.3,0.0
16.4,22.9,47.0,0,0,10.1,12.7,30.1,0.0
16.2,24.1,45.0,0,0,11.6,12.9,32.0,0.0
15.5,21.7,46.6,0,0,12.6,14.4,26.0,0.0
18.1,23.7,46.7,0,0,10.8,12.9,27.9,0.0
15.0,21.7,43.5,0,0,10.1,14.2,29.8,0.0
17.6,20.8,43.8,0,0,10.6,15.3,26.6,0.0
15.5,23.1,45.9,0,0,10.3,16.1,33.1,0.0
14.4,23.5,48.1,0,0,9.7,15.8,30.0,0.0
16.3,21.4,45.0,0,0,9.1,14.8,29.5,0.0
15.6,22.8,41.7,0,0,10.0,16.3,29.6,0.0
14.9,20.7,47.7,0,0,11.7,10.5,26.9,0.0
16.5,22.1,44.1,0,0,9.3,14.7,27.9,0.0
15.6,23.5,47.3,0,0,11.5,13.0,23.3,0.0
18.1,22.4,46.6,0,0,9.5,13.3,27.0,0.0
15.8,21.9,45.9,0,0,11.5,14.5,27.2,0.0
15.9,22.1,43.0,0,0,11.1,14.1,30.2,0.0
13.1,24.1,45.8,0,0,11.4,14.7,31.0,0.0
14.9,21.4,48.9,0,0,11.7,11.9,29.8,0.0
16.5,22.2,46.5,0,0,9.7,14.4,30.6,0.0
17.1,23.1,47.8,0,0,13.6,13.9,28.6,0.0
14.9,22.3,44.9,0,0,11.0,11.7,32.9,0.0
16.4,23.6,46.7,0,0,9.9,14.7,29.0,0.0
14.8,22.6,47.1,0,0,9.6,15.9,31.6,0.0
16.1,21.8,46.0,0,0,9.6,16.8,27.5,0.0
15.2,21.0,42.8,0,0,8.4,11.1,32.8,0.0
17.0,21.3,49.4,0,0,9.0,11.4,32.9,0.0
18.3,20.6,43.5,0,0,11.5,13.4,20.5,0.0
16.6,22.6,47.3,0,0,11.5,18.9,32.2,0.0
15.9,21.2,45.6,0,0,11.1,14.6,28.3,0.0
14.9,22.2,48.1,0,0,7.5,13.8,25.0,0.0
16.9,21.0,45.7,0,0,11.4,10.9,25.0,0.0
14.7,21.4,46.5,0,0,10.8,12.1,28.3,0.0
16.6,22.2,48.0,0,0,7.6,14.9,27.9,0.0
16.5,22.0,46.1,0,0,10.2,13.1,28.4,0.0
17.7,20.8,45.0,0,0,8.9,12.7,23.8,0.0
17.2,21.3,46.4,0,0,8.9,15.8,27.1,0.0
16.3,22.6,46.6,0,0,8.7,18.3,24.4,0.0
15.9,23.0,49.3,0,0,9.7,13.7,28.1,0.0
18.6,21.2,48.5,0,0,9.2,11.3,27.7,0.0
17.6,21.6,45.7,0,0,12.5,12.9,29.7,0.0
14.8,22.0,44.8,0,0,9.1,12.0,26.1,0.0
16.8,20.0,46.6,0,0,10.4,10.9,29.0,0.0
16.4,21.3,45.9,0,0,11.8,11.6,33.0,0.0
15.1,22.2,43.9,0,0,10.8,14.2,29.6,0.0
17.2,23.1,46.9,0,0,9.8,12.2,25.8,0.0
16.1,24.3,46.6,0,0,8.4,13.4,31.6,0.0
15.8,22.7,47.4,0,0,10.3,13.4,28.4,0.0
16.5,20.9,42.8,0,0,8.8,11.3,22.5,0.0
16.8,22.1,45.9,0,0,10.6,19.0,28.0,0.0
16.3,21.3,47.5,0,0,11.4,13.4,28.8,0.0
15.1,22.0,46.0,0,0,9.7,12.5,29.6,0.0
16.8,23.4,46.8,0,0,11.6,14.9,27.9,0.0
15.7,21.4,45.7,0,0,10.0,11.4,24.8,0.0
16.5,22.1,43.0,0,0,10.1,15.1,27.8,0.0
16.6,23.5,47.8,0,0,8.6,13.7,24.4,0.0
15.7,21.4,45.5,0,0,9.7,17.0,28.4,0.0
16.0,22.4,47.8,0,0,9.4,14.3,28.5,0.0
16.9,20.6,45.7,0,0,11.4,11.0,20.3,0.0
16.8,21.4,42.1,0,0,8.2,10.4,29.6,0.0
16.2,22.0,46.9,0,0,9.2,14.8,23.6,0.0
15.8,22.0,44.6,0,0,10.2,12.1,31.6,0.0
17.7,20.6,43.6,0,0,9.3,12.2,27.5,0.0
17.0,21.4,48.7,0,0,12.2,13.6,26.0,0.0
15.4,22.7,46.4,0,0,11.0,13.0,34.5,0.0
15.2,22.5,45.0,0,0,12.0,17.1,28.1,0.0
16.2,20.7,44.5,0,0,13.0,14.3,26.9,0.0
16.5,23.2,47.1,0,0,11.8,12.7,24.9,0.0
17.5,21.7,45.6,0,0,11.5,12.5,23.7,0.0
18.2,21.4,47.4,0,0,12.0,15.1,29.4,0.0
16.5,22.5,47.6,0,0,10.1,14.5,32.6,0.0
14.0,24.1,44.3,0,0,9.5,12.3,24.9,0.0
16.8,22.9,45.1,0,0,9.7,13.4,28.9,0.0
17.6,22.5,47.1,0,0,9.7,14.6,27.3,0.0
14.7,22.4,45.0,0,0,11.0,16.3,28.5,0.0
16.0,22.3,48.6,0,0,9.2,15.2,31.7,0.0
14.2,22.8,46.6,0,0,10.4,19.2,29.7,0.0
14.8,21.8,44.7,0,0,11.9,15.3,27.6,0.0
16.4,20.8,46.7,0,0,9.1,15.2,33.0,0.0
16.0,21.2,47.0,0,0,11.8,12.8,27.6,0.0
15.6,22.7,45.4,0,0,9.8,14.8,25.3,0.0
16.9,20.6,43.4,0,0,12.6,13.2,28.7,0.0
18.6,21.4,46.3,0,0,7.7,16.5,26.3,0.0
17.2,23.0,46.9,0,0,12.3,18.0,34.2,0.0
16.0,21.8,45.3,0,0,11.2,12.9,25.5,0.0
17.5,20.9,45.7,0,0,11.0,15.9,28.3,0.0
15.9,23.5,46.9,0,0,8.9,10.3,27.8,0.0
16.6,21.8,44.6,0,0,8.5,17.7,31.7,0.0
17.5,21.5,44.3,0,0,9.4,16.2,33.7,0.0
15.9,21.5,43.6,0,0,10.2,10.5,29.0,0.0
13.1,22.0,48.7,0,0,10.8,12.9,24.5,0.0
16.5,21.0,46.5,0,0,12.5,13.1,26.2,0.0
15.8,21.1,44.8,0,0,11.1,16.5,27.7,0.0
15.2,23.5,45.6,0,0,9.7,14.7,30.7,0.0
16.9,22.7,45.6,0,0,10.0,12.5,20.7,0.0
15.5,22.8,44.1,0,0,10.1,15.0,23.3,0.0
16.0,20.4,47.7,0,0,10.4,11.3,29.4,0.0
17.1,21.0,46.1,0,0,8.9,12.4,28.6,0.0
15.6,21.2,46.1,0,0,10.6,15.4,28.5,0.0
16.9,19.6,44.5,0,0,8.4,8.2,29.3,0.0
15.3,21.8,48.1,0,0,10.9,18.1,28.1,0.0
15.0,22.1,48.4,0,0,9.0,12.4,26.6,0.0
14.4,22.9,45.9,0,0,10.5,13.5,27.1,0.0
15.2,21.6,47.7,0,0,9.7,20.4,28.9,0.0
15.3,23.9,47.6,0,0,10.2,11.1,30.8,0.0
16.9,22.5,44.7,0,0,9.3,16.6,28.2,0.0
15.6,21.0,46.6,0,0,9.0,16.1,27.0,0.0
17.4,21.9,46.7,0,0,13.1,11.9,28.1,0.0
17.0,23.2,49.9,0,0,8.4,14.9,27.4,0.0
15.6,22.3,45.6,0,0,10.9,14.7,28.6,0.0
17.1,23.3,45.8,0,0,10.3,16.6,25.0,0.0
16.0,21.0,45.2,0,0,6.8,12.8,31.9,0.0
15.6,21.6,44.6,0,0,11.3,15.1,27.3,0.0
17.5,23.0,45.4,0,0,12.4,13.4,31.7,0.0
16.3,20.8,47.8,0,0,10.6,14.0,25.3,0.0
15.7,22.6,45.3,0,0,9.3,14.4,28.8,0.0
17.9,21.0,45.0,0,0,11.3,11.3,28.4,0.0
16.5,22.6,47.7,0,0,10.8,14.4,29.1,0.0
17.9,21.9,44.5,0,0,10.6,13.5,30.0,0.0
16.8,21.5,45.9,0,0,11.7,13.8,21.5,0.0
15.6,22.5,45.6,0,0,10.5,14.4,30.1,0.0
17.1,21.5,47.2,0,0,11.1,15.2,25.2,0.0
15.7,22.0,45.5,0,0,10.6,17.7,27.3,0.0
14.9,23.0,48.6,0,0,11.2,10.8,24.8,0.0
17.2,21.1,46.4,0,0,9.8,13.7,28.2,0.0
17.0,19.3,47.0,0,0,11.5,15.0,28.6,0.0
17.4,21.9,47.4,0,0,9.0,10.3,29.5,0.0
16.7,22.1,43.6,0,0,12.4,16.6,32.9,0.0
15.8,22.1,46.8,0,0,9.6,12.3,34.5,0.0
16.2,21.3,44.0,0,0,10.1,17.4,26.1,0.0
15.3,20.6,45.9,0,0,9.1,13.9,26.7,0.0
14.5,21.7,44.9,0,0,7.7,15.5,28.2,0.0
16.1,21.8,47.0,0,0,10.5,16.7,22.4,0.0
15.2,23.1,46.0,0,0,10.3,12.5,27.0,0.0
14.5,20.2,43.6,0,0,12.9,13.9,25.9,0.0
16.9,21.5,46.2,0,0,10.4,15.0,23.3,0.0
15.1,19.8,44.9,0,0,12.4,15.8,27.2,0.0
16.1,21.8,45.0,0,0,9.7,12.0,27.6,0.0
17.4,21.9,46.0,0,0,10.3,14.9,24.7,0.0
16.3,21.4,46.5,0,0,11.1,14.5,30.9,0.0
15.8,21.9,43.2,0,0,8.3,14.2,27.9,0.0
15.0,23.3,44.7,0,0,9.2,14.2,28.5,0.0
17.8,20.8,47.4,0,0,11.5,14.9,26.1,0.0
15.7,22.3,46.4,0,0,11.5,12.7,32.2,0.0
14.3,23.3,43.5,0,0,9.8,15.6,30.4,0.0
15.6,20.9,45.7,0,0,11.5,16.3,24.7,0.0
17.4,21.4,45.7,0,0,9.5,15.6,31.9,0.0
17.6,20.8,45.1,0,0,7.5,12.4,30.9,0.0
16.4,21.5,46.0,0,0,10.0,14.6,25.6,0.0
15.9,21.9,45.4,0,0,10.8,14.0,26.7,0.0
15.7,22.7,45.5,0,0,9.6,17.2,29.7,0.0
16.4,20.4,44.3,0,0,11.8,14.7,27.7,0.0
18.2,22.6,46.8,0,0,8.2,14.3,33.2,0.0
15.4,21.8,45.3,0,0,7.3,12.9,25.6,0.0
16.2,24.1,44.6,0,0,7.0,15.5,24.8,0.0
18.0,20.8,46.7,0,0,6.2,13.4,31.3,0.0
14.5,22.3,46.7,0,0,9.3,13.8,35.9,0.0
15.6,22.3,45.5,0,0,11.6,14.2,28.9,0.0
16.0,23.1,45.9,0,0,10.9,13.3,29.1,0.0
15.3,21.4,48.1,0,0,7.3,16.5,25.3,0.0
16.2,21.9,46.4,0,0,6.8,20.3,31.2,0.0
16.1,21.8,45.8,0,0,10.8,15.3,29.7,0.0
13.1,22.7,46.3,0,0,9.7,16.3,29.8,0.0
16.9,21.2,46.6,0,0,10.0,13.2,31.4,0.0
16.9,23.0,46.8,0,0,8.5,11.2,26.1,0.0
16.4,22.8,47.1,0,0,11.1,15.0,26.1,0.0
17.1,22.0,44.7,0,0,11.8,15.4,29.1,0.0
15.9,21.2,45.5,0,0,9.8,12.5,26.0,0.0
15.2,22.7,47.4,0,0,7.2,14.4,28.0,0.0
15.1,22.8,45.7,0,0,7.6,12.5,25.7,0.0
14.8,22.1,46.4,0,0,9.6,10.0,29.9,0.0
16.2,23.8,47.9,0,0,12.0,11.4,18.9,0.0
15.0,22.5,46.8,0,0,10.3,13.0,30.4,0.0
15.5,22.0,43.3,0,0,11.6,19.5,29.2,0.0
16.2,21.2,47.7,0,0,9.0,13.2,26.4,0.0
16.2,22.8,44.7,0,0,10.0,14.0,27.0,0.0
15.2,21.5,47.3,0,0,9.0,13.4,24.0,0.0
15.9,22.4,45.8,0,0,10.4,14.4,30.6,0.0
15.9,23.4,47.4,0,0,10.4,12.8,20.7,0.0
16.2,21.4,45.5,0,0,11.4,16.5,28.3,0.0
15.5,22.0,46.9,0,0,10.9,16.4,27.6,0.0
14.8,21.5,45.8,0,0,7.8,9.4,26.3,0.0
16.3,22.6,44.3,0,0,9.3,16.9,29.0,0.0
14.9,20.4,47.2,0,0,11.6,13.8,30.0,0.0
17.1,20.8,48.5,0,0,10.6,12.2,25.4,0.0
16.6,21.5,45.8,0,0,8.6,15.3,27.0,0.0
15.5,21.8,44.5,0,0,10.1,12.0,30.2,0.0
16.8,22.0,45.6,0,0,6.2,13.6,35.2,0.0
17.1,22.7,47.1,0,0,10.0,15.1,24.5,0.0
16.6,21.6,45.1,0,0,10.7,14.0,30.0,0.0
14.5,22.2,46.1,0,0,10.2,17.1,24.3,0.0
17.5,20.4,44.8,0,0,10.3,14.5,27.3,0.0
17.7,22.0,46.3,0,0,9.8,10.7,27.5,0.0
15.7,23.3,46.8,0,0,8.1,12.8,26.9,0.0
17.1,23.6,44.5,0,0,8.3,14.5,29.5,0.0
16.5,23.0,45.9,0,0,8.8,11.5,27.3,0.0
18.1,20.4,46.3,0,0,9.5,14.3,25.5,0.0
15.6,21.8,48.1,0,0,13.0,14.0,27.4,0.0
15.7,21.6,46.9,0,0,6.7,17.1,23.7,0.0
14.6,22.2,45.0,0,0,7.6,14.9,34.1,0.0
16.5,23.8,45.7,0,0,10.6,14.0,26.1,0.0
16.5,23.5,46.5,0,0,11.1,11.4,25.1,0.0
16.6,22.9,45.3,0,0,9.5,14.0,24.2,0.0
15.9,24.1,45.6,0,0,9.3,14.5,26.7,0.0
15.8,21.4,48.0,0,0,9.5,12.7,30.2,0.0
17.0,21.3,47.2,0,0,12.1,12.8,22.4,0.0
16.7,22.0,44.6,0,0,7.0,15.8,24.4,0.0
16.6,24.0,43.7,0,0,9.4,15.4,28.3,0.0
14.7,21.8,47.4,0,0,12.4,14.2,25.3,0.0
16.0,20.7,46.5,0,0,9.8,17.0,23.6,0.0
16.2,22.4,46.6,0,0,11.3,13.2,20.2,0.0
17.2,20.2,46.5,0,0,11.9,11.9,30.0,0.0
15.5,21.3,46.1,0,0,9.2,13.8,29.0,0.0
14.9,22.7,46.7,0,0,8.4,11.8,30.0,0.0
15.0,21.5,46.7,0,0,7.4,12.6,31.6,0.0
17.4,23.7,47.5,0,0,11.2,13.5,26.2,0.0
16.5,22.4,48.1,0,0,10.1,12.4,25.5,0.0
15.0,21.6,46.4,0,0,11.0,11.0,31.2,0.0
15.8,22.5,47.3,0,0,13.0,20.2,29.8,0.0
16.5,22.7,46.6,0,0,9.5,17.6,28.7,0.0
14.9,22.4,47.2,0,0,11.3,12.8,26.3,0.0
16.7,20.9,45.4,0,0,10.7,17.3,28.0,0.0
15.9,20.5,45.5,0,0,11.0,15.7,27.1,0.0
16.0,22.0,45.0,0,0,11.3,15.2,29.5,0.0
15.5,19.8,47.6,0,0,11.0,14.8,29.5,0.0
15.6,23.1,46.9,0,0,9.3,12.3,30.1,0.0
16.3,21.6,46.2,0,0,11.0,11.3,31.6,0.0
14.6,20.5,47.7,0,0,7.3,14.8,24.9,0.0
14.3,20.9,47.9,0,0,9.1,17.1,26.4,0.0
16.5,23.1,48.2,0,0,9.8,12.9,28.5,0.0
16.3,21.0,44.6,0,0,9.5,11.3,26.8,0.0
15.2,21.8,44.6,0,0,10.5,13.9,28.1,0.0
15.1,20.5,45.0,0,0,11.3,16.1,22.5,0.0
15.0,22.2,46.1,0,0,9.9,11.1,25.2,0.0
15.7,23.7,48.0,40,0,27.6,41.4,80.5,1.0
14.9,22.8,48.3,40,0,26.8,42.7,84.5,1.0
16.3,22.6,46.5,40,0,27.0,39.2,85.2,1.0
17.2,21.8,45.9,40,0,29.3,38.4,85.3,1.0
15.9,23.1,45.5,40,0,26.4,42.0,83.8,1.0
15.8,22.2,45.4,40,0,29.6,39.0,82.0,1.0
14.4,23.7,48.1,40,0,28.5,42.7,80.8,1.0
16.3,22.3,45.6,40,0,26.8,42.4,80.6,1.0
15.2,21.9,44.9,40,0,27.6,39.6,79.4,1.0
16.2,22.5,46.7,40,0,29.8,44.0,80.4,1.0
14.8,22.9,47.3,40,0,28.8,42.5,83.6,1.0
15.8,23.1,49.5,40,0,27.6,41.1,84.2,1.0
16.7,21.8,48.2,40,0,27.6,38.3,83.0,1.0
17.7,24.0,44.9,40,0,26.7,42.4,80.3,1.0
16.0,22.0,43.1,40,0,27.9,42.7,80.9,1.0
17.4,20.7,47.2,40,0,28.7,39.6,80.6,1.0
16.3,22.6,47.5,40,0,28.3,40.5,84.5,1.0
15.2,24.9,47.9,40,0,28.2,39.8,78.9,1.0
16.5,22.5,45.6,40,0,26.7,38.4,83.6,1.0
13.8,21.8,44.7,40,0,28.5,41.7,82.4,1.0
15.7,22.9,46.7,40,0,29.0,47.0,83.2,1.0
14.9,22.5,44.6,40,0,29.4,42.2,88.3,1.0
15.7,23.0,47.4,40,0,29.6,39.2,80.9,1.0
14.7,21.8,45.5,40,0,26.9,41.1,80.0,1.0
15.4,23.0,49.1,40,0,32.4,41.9,78.0,1.0
16.4,21.1,46.8,40,0,26.4,37.3,87.7,1.0
16.9,21.0,46.1,40,0,24.8,41.0,83.1,1.0
15.6,21.0,47.0,40,0,27.3,41.5,79.4,1.0
14.6,21.7,45.9,40,0,30.0,40.6,82.2,1.0
17.0,22.3,48.6,40,0,32.7,38.8,86.5,1.0
17.2,23.1,45.1,40,0,29.3,41.8,82.0,1.0
15.9,23.2,45.3,40,0,26.8,40.6,79.7,1.0
13.8,21.4,46.3,40,0,28.7,41.1,84.7,1.0
