N_Awal,P_Awal,K_Awal,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
14.6,21.4,43.1,10.4,18.1,36.6,0.1
16.4,24.2,44.1,11.5,18.1,37.9,0.1
16.3,20.5,46.0,9.3,16.6,34.6,0.1
15.4,22.1,44.5,9.9,18.0,34.5,0.1
16.8,22.1,44.9,11.8,18.6,30.5,0.1
15.1,24.6,46.2,11.7,14.6,31.8,0.1
16.1,23.2,47.3,10.8,17.1,33.1,0.1
14.0,21.1,48.2,11.1,15.6,32.6,0.1
16.6,25.7,47.8,14.3,16.2,35.1,0.1
16.5,21.8,44.0,11.7,14.8,28.6,0.1
17.2,22.6,48.3,10.9,14.5,38.5,0.1
16.9,21.6,45.8,12.0,15.0,38.0,0.1
18.2,21.2,47.0,10.6,13.9,36.2,0.1
15.5,22.6,44.9,10.9,15.7,31.6,0.1
15.4,22.0,47.3,12.3,16.6,32.7,0.1
17.1,20.9,46.9,12.6,14.7,33.7,0.1
14.5,21.0,46.2,10.9,17.8,31.1,0.1
14.7,22.5,44.3,12.3,14.9,35.3,0.1
16.0,23.6,45.3,10.9,16.8,30.8,0.1
17.8,20.1,44.9,13.1,14.4,35.0,0.1
15.7,22.7,45.9,12.7,16.3,34.5,0.1
15.9,22.1,45.5,13.6,17.2,34.4,0.1
18.4,23.5,45.6,12.5,15.9,34.3,0.1
15.3,20.7,45.6,13.7,15.9,27.3,0.1
16.1,23.4,42.8,11.9,20.1,34.4,0.1
17.5,22.9,45.5,12.2,18.2,29.0,0.1
16.6,22.1,44.9,12.8,21.2,34.0,0.1
15.9,23.1,46.6,13.1,15.0,33.6,0.1
15.4,22.1,46.7,13.4,15.7,32.6,0.1
17.7,23.0,48.9,14.9,17.6,41.4,0.2
17.8,23.2,46.0,12.6,16.9,33.5,0.2
16.5,22.7,47.2,14.2,17.2,46.2,0.2
16.8,24.5,48.1,14.5,19.9,36.5,0.2
16.2,22.6,47.8,16.1,18.4,35.9,0.2
15.9,21.6,43.6,11.2,22.5,38.3,0.2
15.0,22.3,48.6,15.0,19.6,35.0,0.2
16.1,19.9,46.0,13.4,16.4,38.1,0.2
17.5,22.3,44.5,13.4,20.8,44.4,0.2
16.3,22.8,45.9,17.6,19.5,38.9,0.2
15.8,21.9,46.3,12.9,18.3,38.7,0.2
17.4,23.8,43.0,13.4,22.4,30.9,0.2
15.6,21.5,48.8,13.2,18.7,34.6,0.2
15.2,22.1,46.9,15.2,21.9,41.0,0.2
16.0,23.3,46.8,11.9,20.8,38.1,0.2
17.0,23.2,45.7,13.2,21.7,35.6,0.2
16.2,22.1,47.7,14.2,16.9,41.6,0.2
16.9,21.3,48.8,12.7,16.6,34.2,0.2
16.2,22.0,46.7,10.6,22.8,39.5,0.2
16.5,22.2,46.0,13.7,21.6,39.2,0.2
17.1,22.8,45.9,14.2,16.0,34.8,0.2
15.6,22.8,44.7,13.8,20.1,37.2,0.2
16.8,22.8,47.6,14.4,16.0,41.9,0.2
15.1,22.0,46.2,16.2,21.4,33.3,0.2
15.6,22.0,44.0,14.5,18.0,39.4,0.2
17.4,21.6,50.1,12.4,16.7,35.9,0.2
17.0,22.0,46.3,14.5,19.8,36.2,0.2
15.6,22.6,48.8,17.6,19.2,42.3,0.2
15.8,23.2,47.6,12.8,23.0,40.9,0.2
16.1,22.5,47.1,14.7,16.3,36.6,0.2
16.9,23.2,47.7,14.0,16.7,40.0,0.2
14.7,23.0,46.4,15.0,20.3,38.6,0.2
17.4,22.6,47.2,14.2,16.9,35.6,0.2
15.8,22.7,45.4,13.8,19.5,41.6,0.2
15.9,23.8,44.8,13.1,18.8,39.5,0.2
16.5,23.6,43.9,13.5,18.5,43.2,0.2
17.4,22.1,48.2,14.1,21.2,39.1,0.2
17.8,24.2,45.3,17.2,18.7,37.5,0.2
15.4,21.6,45.0,13.1,18.8,34.8,0.2
15.3,23.6,45.8,13.7,19.9,43.5,0.2
16.7,22.8,46.9,13.7,20.8,35.5,0.2
15.8,22.0,45.3,14.2,24.3,36.9,0.2
15.8,21.8,46.8,12.8,21.8,43.1,0.2
14.8,24.1,48.8,12.9,20.7,39.4,0.2
16.7,23.3,49.1,12.8,18.6,39.7,0.2
15.6,22.6,48.8,13.5,17.8,34.7,0.2
17.5,25.1,45.3,13.0,19.9,38.8,0.2
18.2,23.2,45.6,13.0,21.5,40.9,0.2
16.8,23.7,47.9,14.6,21.6,41.3,0.2
16.5,23.8,44.9,15.8,20.7,38.3,0.2
17.6,22.8,46.2,16.2,21.3,44.3,0.3
18.5,22.3,46.5,13.6,23.6,46.2,0.3
16.6,23.2,46.4,16.0,25.3,43.9,0.3
15.3,22.7,45.1,15.0,22.5,47.5,0.3
16.7,24.2,46.0,17.4,19.1,42.6,0.3
14.1,23.0,45.4,14.8,25.9,39.9,0.3
15.8,21.3,47.4,14.1,23.5,45.0,0.3
15.3,21.1,45.1,16.6,21.9,49.8,0.3
16.7,21.3,48.3,15.6,22.6,43.5,0.3
16.8,23.2,46.8,15.5,24.3,45.3,0.3
17.0,22.5,48.3,16.6,24.8,44.8,0.3
14.9,22.7,45.1,14.6,25.7,44.1,0.3
14.4,22.1,42.5,16.9,20.8,42.9,0.3
16.8,21.6,46.1,13.2,23.6,46.6,0.3
17.2,22.4,46.2,15.6,19.8,48.7,0.3
15.7,21.6,45.7,15.9,18.0,43.5,0.3
16.9,24.0,47.5,18.3,23.4,42.5,0.3
16.7,23.5,47.1,15.7,20.8,46.3,0.3
16.5,24.7,45.1,17.2,21.0,48.2,0.3
15.9,22.3,46.8,18.2,22.5,42.3,0.3
18.5,24.3,46.8,16.4,21.0,44.2,0.3
15.3,22.3,43.6,15.7,22.3,46.1,0.3
17.9,21.4,43.9,16.2,23.4,42.8,0.3
15.9,23.7,46.1,16.0,24.2,49.3,0.3
14.8,24.1,48.2,15.4,23.9,46.2,0.3
16.6,22.0,45.1,14.7,22.9,45.7,0.3
16.0,23.4,41.9,15.6,24.5,45.9,0.3
15.2,21.3,47.9,17.3,18.6,43.1,0.3
16.8,22.7,44.2,14.9,22.8,44.1,0.3
15.9,24.1,47.4,17.1,21.1,39.6,0.3
18.4,23.0,46.8,15.1,21.4,43.3,0.3
16.1,22.5,46.1,17.2,22.6,43.5,0.3
16.3,22.7,43.1,16.7,22.2,46.4,0.3
13.4,24.7,45.9,17.0,22.8,47.2,0.3
15.3,22.0,49.0,17.3,20.0,46.1,0.3
16.8,22.7,46.7,15.3,22.5,46.8,0.3
17.4,23.7,47.9,19.2,22.0,44.8,0.3
15.2,22.9,45.0,16.6,19.8,49.1,0.3
16.8,24.2,46.8,15.5,22.8,45.2,0.3
15.1,23.2,47.2,15.3,24.0,47.8,0.3
16.5,22.4,46.2,15.2,24.9,43.8,0.3
15.5,21.6,42.9,14.0,19.2,49.0,0.3
17.3,21.9,49.5,14.7,19.5,49.2,0.3
18.6,21.2,43.7,17.1,21.5,36.7,0.3
16.9,23.2,47.4,17.2,27.0,48.4,0.3
16.3,21.8,45.7,16.8,22.7,44.5,0.3
15.2,22.8,48.2,13.1,21.9,41.3,0.3
17.3,21.6,45.8,17.0,19.0,41.3,0.3
15.0,22.0,46.6,16.4,20.2,44.5,0.3
16.9,22.8,48.2,13.2,23.0,44.2,0.3
16.9,22.6,46.2,17.7,24.0,50.0,0.4
18.1,21.3,45.1,16.4,23.5,45.4,0.4
17.6,21.9,46.5,16.4,26.6,48.8,0.4
16.6,23.2,46.7,16.2,29.1,46.1,0.4
16.2,23.6,49.4,17.2,24.5,49.8,0.4
18.9,21.8,48.6,16.7,22.1,49.4,0.4
18.0,22.2,45.8,20.0,23.7,51.4,0.4
15.1,22.6,45.0,16.6,22.8,47.7,0.4
17.2,20.6,46.7,17.8,21.7,50.6,0.4
16.8,21.9,46.0,19.3,22.4,54.7,0.4
15.4,22.8,44.0,18.3,25.0,51.3,0.4
17.6,23.7,47.0,17.3,23.0,47.4,0.4
16.5,24.9,46.7,15.9,24.2,53.3,0.4
16.2,23.3,47.6,17.8,24.2,50.0,0.4
16.8,21.5,42.9,16.3,22.1,44.1,0.4
17.2,22.7,46.0,18.1,29.8,49.6,0.4
16.7,21.9,47.6,18.9,24.2,50.4,0.4
15.4,22.6,46.1,17.2,23.3,51.3,0.4
17.2,24.0,47.0,19.1,25.8,49.6,0.4
16.0,22.0,45.8,17.5,22.2,46.4,0.4
16.8,22.7,43.2,17.6,25.9,49.4,0.4
16.9,24.1,48.0,16.1,24.5,46.0,0.4
16.0,22.0,45.7,17.2,27.8,50.1,0.4
16.3,23.0,47.9,16.9,25.1,50.1,0.4
17.3,21.2,45.8,18.9,21.8,42.0,0.4
17.1,22.0,42.2,15.7,21.2,51.3,0.4
16.5,22.6,47.0,16.7,25.6,45.2,0.4
16.2,22.6,44.7,17.7,22.9,53.2,0.4
18.0,21.2,43.7,16.8,23.0,49.1,0.4
17.4,22.0,48.9,19.7,24.4,47.6,0.4
15.7,23.3,46.6,18.5,23.8,56.1,0.4
15.6,23.1,45.1,19.4,27.9,49.7,0.4
16.5,21.2,44.7,20.5,25.1,48.5,0.4
16.9,23.8,47.2,19.3,23.5,46.5,0.4
17.8,22.3,45.8,19.0,23.3,45.4,0.4
18.5,21.9,47.5,19.5,25.9,51.0,0.4
16.8,23.1,47.7,17.6,25.3,54.2,0.4
14.4,24.6,44.5,16.9,23.1,46.5,0.4
17.2,23.5,45.3,17.2,24.3,50.6,0.4
17.9,23.1,47.2,17.2,25.4,48.9,0.4
15.0,23.0,45.2,18.5,27.2,50.2,0.4
16.4,22.9,48.7,16.7,26.0,53.4,0.4
14.6,23.3,46.7,17.9,30.0,51.3,0.4
15.1,22.4,44.9,19.4,26.2,49.2,0.4
16.7,21.4,46.8,16.6,26.0,54.7,0.4
16.4,21.8,47.1,19.3,23.6,49.2,0.4
15.9,23.3,45.6,17.3,25.6,47.0,0.4
17.3,21.2,43.5,20.1,24.0,50.3,0.4
18.9,22.0,46.4,15.2,27.3,48.0,0.4
17.5,23.6,47.0,19.8,28.8,55.8,0.4
16.3,22.4,45.4,20.5,26.4,52.6,0.5
17.8,21.5,45.8,20.4,29.4,55.3,0.5
16.2,24.1,47.1,18.3,23.8,54.8,0.5
16.9,22.4,44.7,17.8,31.2,58.7,0.5
17.9,22.1,44.4,18.8,29.7,60.7,0.5
16.2,22.1,43.7,19.6,24.0,56.0,0.5
13.5,22.6,48.8,20.1,26.4,51.5,0.5
16.8,21.6,46.6,21.9,26.6,53.2,0.5
16.1,21.7,44.9,20.5,30.0,54.8,0.5
15.5,24.1,45.7,19.0,28.2,57.8,0.5
17.2,23.3,45.7,19.3,26.0,47.8,0.5
15.8,23.4,44.2,19.5,28.5,50.4,0.5
16.3,21.0,47.9,19.8,24.8,56.5,0.5
17.5,21.6,46.2,18.3,25.9,55.7,0.5
16.0,21.8,46.3,20.0,28.9,55.6,0.5
17.2,20.2,44.6,17.8,21.7,56.4,0.5
15.6,22.4,48.2,20.3,31.6,55.1,0.5
15.4,22.7,48.6,18.4,25.9,53.6,0.5
14.8,23.5,46.0,19.9,27.0,54.2,0.5
15.6,22.2,47.9,19.1,33.9,56.0,0.5
15.7,24.5,47.7,19.5,24.6,57.8,0.5
17.2,23.1,44.9,18.7,30.1,55.3,0.5
15.9,21.6,46.8,18.4,29.6,54.1,0.5
17.7,22.5,46.8,22.5,25.4,55.1,0.5
17.3,23.8,50.0,17.8,28.4,54.5,0.5
16.0,22.9,45.7,20.2,28.2,55.6,0.5
17.5,23.9,46.0,19.6,30.1,52.0,0.5
16.3,21.6,45.4,16.2,26.3,58.9,0.5
16.0,22.2,44.7,20.6,28.6,54.3,0.5
17.9,23.6,45.5,21.8,26.9,58.7,0.5
16.7,21.4,47.9,20.0,27.5,52.3,0.5
16.1,23.2,45.4,18.7,27.9,55.9,0.5
18.3,21.6,45.1,20.7,24.8,55.4,0.5
16.8,23.2,47.8,20.1,27.9,56.1,0.5
18.2,22.5,44.7,20.0,27.0,57.1,0.5
17.2,22.1,46.0,21.0,27.3,48.5,0.5
15.9,23.1,45.7,19.9,27.9,57.2,0.5
17.4,22.1,47.3,20.5,28.7,52.2,0.5
16.0,22.6,45.7,19.9,31.2,54.4,0.5
15.3,23.5,48.7,20.6,24.3,51.9,0.5
17.5,21.7,46.5,19.2,27.2,55.3,0.5
17.3,19.9,47.1,20.8,28.5,55.6,0.5
17.7,22.5,47.6,18.4,23.8,56.6,0.5
17.1,22.7,43.7,21.8,30.1,60.0,0.5
16.2,22.7,47.0,19.0,25.8,61.6,0.5
16.5,21.9,44.1,19.4,30.9,53.2,0.5
15.6,21.2,46.0,18.4,27.4,53.8,0.5
14.9,22.3,45.0,17.1,29.0,55.3,0.5
16.5,22.4,47.1,19.8,30.2,49.4,0.5
15.5,23.7,46.2,19.7,26.0,54.1,0.5
14.8,20.8,43.8,24.1,30.1,58.3,0.6
17.2,22.1,46.3,21.6,31.2,55.7,0.6
15.4,20.4,45.0,23.7,32.0,59.7,0.6
16.4,22.4,45.2,20.9,28.2,60.1,0.6
17.7,22.5,46.2,21.5,31.1,57.2,0.6
16.6,22.0,46.7,22.3,30.7,63.3,0.6
16.1,22.5,43.3,19.5,30.4,60.4,0.6
15.3,23.9,44.8,20.4,30.4,60.9,0.6
18.1,21.4,47.5,22.7,31.1,58.5,0.6
16.1,22.9,46.5,22.7,28.9,64.6,0.6
14.6,23.9,43.6,21.0,31.8,62.8,0.6
15.9,21.5,45.8,22.8,32.5,57.2,0.6
17.7,22.0,45.8,20.8,31.8,64.4,0.6
18.0,21.4,45.2,18.7,28.6,63.4,0.6
16.8,22.1,46.1,21.2,30.8,58.0,0.6
16.2,22.5,45.6,22.1,30.2,59.2,0.6
16.0,23.3,45.6,20.9,33.4,62.1,0.6
16.8,21.0,44.4,23.0,31.0,60.1,0.6
18.6,23.2,46.9,19.4,30.5,65.7,0.6
15.7,22.4,45.4,18.5,29.1,58.1,0.6
16.6,24.7,44.7,18.3,31.7,57.2,0.6
18.3,21.4,46.9,17.4,29.6,63.8,0.6
14.8,22.8,46.8,20.5,30.0,68.4,0.6
15.9,22.9,45.6,22.9,30.4,61.4,0.6
16.3,23.7,46.1,22.2,29.5,61.6,0.6
15.7,22.0,48.2,18.6,32.7,57.7,0.6
16.6,22.5,46.6,18.0,36.5,63.6,0.6
16.4,22.4,45.9,22.0,31.5,62.1,0.6
13.4,23.2,46.4,20.9,32.5,62.2,0.6
17.3,21.8,46.7,21.2,29.4,63.8,0.6
17.2,23.5,46.9,19.8,27.5,58.6,0.6
16.8,23.4,47.3,22.3,31.2,58.5,0.6
17.4,22.6,44.8,23.0,31.6,61.5,0.6
16.2,21.8,45.7,21.0,28.7,58.4,0.6
15.5,23.3,47.5,18.4,30.6,60.5,0.6
15.4,23.4,45.8,18.8,28.7,58.2,0.6
15.1,22.7,46.5,20.8,26.2,62.4,0.6
16.5,24.4,48.0,23.3,27.6,51.4,0.6
15.4,23.1,46.9,21.6,29.2,62.9,0.6
15.8,22.6,43.5,22.8,35.7,61.6,0.6
16.5,21.8,47.8,20.2,29.4,58.9,0.6
16.5,23.4,44.8,21.2,30.2,59.5,0.6
15.5,22.1,47.4,20.3,29.6,56.4,0.6
16.2,23.0,46.0,21.6,30.6,63.0,0.6
16.2,24.0,47.5,21.6,29.0,53.2,0.6
16.5,22.0,45.7,22.7,32.7,60.7,0.6
15.9,22.6,47.0,22.2,32.6,60.0,0.6
15.1,22.1,45.9,19.1,25.6,58.8,0.6
16.6,23.2,44.4,20.6,33.1,61.4,0.6
15.3,21.0,47.4,22.8,30.1,62.5,0.6
17.5,21.4,48.6,23.7,31.1,63.3,0.7
16.9,22.0,45.9,21.8,34.2,64.9,0.7
15.8,22.4,44.6,23.2,30.9,68.1,0.7
17.1,22.6,45.7,19.3,32.5,73.1,0.7
17.5,23.3,47.2,23.1,34.0,62.3,0.7
16.9,22.2,45.3,23.8,33.0,67.9,0.7
14.9,22.8,46.2,23.3,36.0,62.2,0.7
17.8,21.0,44.9,23.4,33.4,65.2,0.7
18.0,22.6,46.5,23.0,29.6,65.4,0.7
16.0,23.9,47.0,21.2,31.7,64.8,0.7
17.5,24.2,44.6,21.4,33.4,67.4,0.7
16.8,23.6,46.0,21.9,30.4,65.2,0.7
18.4,21.0,46.4,22.6,33.2,63.4,0.7
16.0,22.4,48.2,26.1,32.9,65.3,0.7
16.1,22.2,47.0,19.8,36.0,61.6,0.7
15.0,22.8,45.1,20.7,33.8,72.0,0.7
16.8,24.4,45.8,23.8,33.0,64.0,0.7
16.8,24.1,46.7,24.2,30.3,63.0,0.7
16.9,23.5,45.4,22.6,32.9,62.1,0.7
16.3,24.7,45.8,22.4,33.4,64.6,0.7
16.2,21.9,48.1,22.6,31.6,68.1,0.7
17.3,21.9,47.3,25.2,31.7,60.3,0.7
17.1,22.6,44.7,20.2,34.7,62.2,0.7
16.9,24.6,43.8,22.5,34.3,66.2,0.7
15.0,22.4,47.5,25.5,33.1,63.2,0.7
16.3,21.3,46.7,22.9,35.9,61.5,0.7
16.5,23.0,46.7,24.4,32.1,58.1,0.7
17.5,20.8,46.6,25.0,30.8,67.9,0.7
15.8,21.9,46.2,22.4,32.8,66.9,0.7
15.2,23.3,46.8,21.5,30.7,67.9,0.7
15.4,22.1,46.8,20.5,31.6,69.5,0.7
17.8,24.3,47.6,24.3,32.4,64.1,0.7
16.9,23.0,48.2,23.2,31.3,63.4,0.7
15.3,22.2,46.5,24.1,29.9,69.0,0.7
16.2,23.1,47.5,26.1,39.1,67.7,0.7
16.8,23.3,46.8,22.6,36.5,66.6,0.7
15.2,23.0,47.3,24.4,31.7,64.2,0.7
17.0,21.5,45.5,23.8,36.3,65.9,0.7
16.3,21.1,45.6,24.2,34.6,65.0,0.7
16.4,22.6,45.1,24.4,34.1,67.4,0.7
15.8,20.4,47.8,24.2,33.8,67.4,0.7
15.9,23.7,47.1,22.4,31.2,68.0,0.7
16.6,22.2,46.3,24.1,30.2,69.5,0.7
15.0,21.1,47.8,20.4,33.7,62.8,0.7
14.6,21.5,48.0,22.2,36.0,64.3,0.7
16.8,23.7,48.3,22.9,31.8,66.4,0.7
16.6,21.6,44.7,22.6,30.3,64.6,0.7
15.6,22.4,44.7,23.6,32.8,66.0,0.7
15.4,21.1,45.2,24.4,35.0,60.3,0.7
15.3,22.8,46.2,23.0,30.0,63.1,0.7
16.1,24.3,48.1,23.9,36.0,69.6,0.8
15.2,23.4,48.4,23.0,37.3,73.7,0.8
16.6,23.1,46.6,23.3,33.8,74.3,0.8
17.5,22.4,46.1,25.6,33.0,74.4,0.8
16.3,23.7,45.6,22.7,36.6,73.0,0.8
16.2,22.8,45.6,25.8,33.6,71.2,0.8
14.7,24.3,48.2,24.8,37.3,70.0,0.8
16.6,22.9,45.8,23.0,37.0,69.8,0.8
15.5,22.5,45.1,23.8,34.2,68.5,0.8
16.6,23.1,46.8,26.0,38.6,69.5,0.8
15.1,23.5,47.5,25.1,37.1,72.7,0.8
16.1,23.7,49.7,23.8,35.7,73.3,0.8
17.1,22.4,48.3,23.8,32.9,72.2,0.8
18.1,24.6,45.0,23.0,37.0,69.5,0.8
16.3,22.6,43.2,24.2,37.3,70.1,0.8
17.8,21.3,47.3,25.0,34.2,69.8,0.8
16.7,23.2,47.6,24.6,35.1,73.7,0.8
15.5,25.5,48.0,24.5,34.4,68.0,0.8
16.9,23.1,45.7,23.0,33.0,72.7,0.8
14.1,22.4,44.9,24.8,36.3,71.5,0.8
16.0,23.5,46.9,25.2,41.6,72.4,0.8
15.2,23.1,44.7,25.6,36.8,77.5,0.8
16.0,23.6,47.5,25.8,33.8,70.0,0.8
15.1,22.4,45.7,23.1,35.7,69.2,0.8
15.8,23.6,49.3,28.6,36.5,67.2,0.8
16.7,21.7,46.9,22.6,31.9,76.9,0.8
17.3,21.6,46.3,21.0,35.6,72.3,0.8
15.9,21.6,47.1,23.6,36.1,68.6,0.8
14.9,22.3,46.1,26.3,35.1,71.4,0.8
17.3,22.9,48.8,28.9,33.4,75.7,0.8
17.6,23.7,45.2,25.5,36.4,71.1,0.8
16.3,23.8,45.4,23.0,35.2,68.9,0.8
14.1,22.0,46.4,24.9,35.7,73.8,0.8
17.0,22.0,44.3,26.8,34.6,65.7,0.8
14.1,23.5,48.0,24.1,35.2,69.5,0.8
16.3,23.2,47.1,26.0,33.3,70.7,0.8
17.8,23.3,47.3,23.9,35.8,72.7,0.8
15.5,24.0,47.2,25.1,38.4,72.5,0.8
16.8,22.8,46.6,24.3,34.7,72.2,0.8
17.3,21.6,46.7,27.5,37.8,71.9,0.8
15.7,21.5,45.0,27.7,35.2,68.7,0.8
17.2,21.7,48.4,24.4,32.8,71.3,0.8
17.2,21.5,47.5,25.8,37.7,69.3,0.8
15.4,23.2,44.7,25.2,36.7,67.8,0.8
15.1,23.1,47.1,25.7,32.9,73.8,0.8
15.8,21.6,43.2,23.9,36.8,72.1,0.8
16.1,23.3,45.7,25.5,32.5,71.6,0.8
16.7,23.1,43.8,24.5,37.1,72.3,0.8
16.1,22.6,45.9,26.1,36.8,68.2,0.8
15.0,23.2,48.1,25.5,38.5,74.5,0.8
17.4,22.8,47.7,27.4,40.5,82.7,0.9
17.9,21.8,48.4,27.1,38.4,75.6,0.9
14.2,23.2,47.5,27.6,35.5,77.8,0.9
15.8,21.5,48.4,26.0,38.6,82.6,0.9
17.7,21.9,45.4,29.8,38.3,79.7,0.9
15.5,24.6,45.3,28.7,41.7,78.4,0.9
17.2,23.0,46.8,26.4,39.0,81.4,0.9
16.0,22.8,44.4,26.9,39.4,69.1,0.9
17.9,22.1,45.9,27.4,37.9,82.0,0.9
15.6,21.5,47.1,26.7,37.4,77.3,0.9
15.7,22.8,47.4,27.8,36.7,79.4,0.9
16.1,22.4,45.0,26.8,39.2,75.2,0.9
16.1,22.3,45.8,26.6,35.2,75.2,0.9
15.7,21.4,44.6,26.8,39.3,79.3,0.9
15.0,22.1,46.4,26.1,37.6,74.4,0.9
15.4,22.6,44.9,27.8,37.2,75.5,0.9
16.6,22.8,50.2,27.7,34.7,75.6,0.9
14.6,22.5,44.9,27.4,36.3,76.4,0.9
15.7,24.3,45.6,28.2,37.2,76.3,0.9
16.7,23.0,43.2,29.6,39.9,78.1,0.9
14.9,22.5,48.7,26.4,40.0,76.6,0.9
16.0,20.9,44.7,28.7,38.2,79.6,0.9
16.0,24.5,48.6,29.2,37.8,76.0,0.9
14.8,24.1,44.4,30.2,38.0,77.6,0.9
15.5,22.0,45.3,27.2,36.1,74.9,0.9
16.6,23.8,45.4,26.0,40.0,73.4,0.9
16.5,22.1,46.9,25.8,37.9,80.2,0.9
16.0,21.8,44.8,25.2,39.7,77.9,0.9
16.8,20.5,45.3,27.7,40.8,74.8,0.9
15.7,22.9,45.8,26.8,36.5,73.9,0.9
16.8,19.8,45.4,23.5,34.1,74.9,0.9
16.7,22.7,42.9,26.1,41.1,75.5,0.9
20.3,20.5,48.7,28.0,38.8,78.2,0.9
15.9,22.0,46.6,26.4,38.9,76.6,0.9
15.2,22.1,48.0,24.6,39.8,75.5,0.9
17.1,23.3,48.9,26.1,39.0,74.5,0.9
17.6,21.9,47.2,26.6,39.7,77.0,0.9
16.6,22.5,46.4,26.6,38.2,77.0,0.9
15.9,21.7,47.6,29.2,40.3,79.3,0.9
16.1,21.0,45.5,28.2,41.3,74.9,0.9
16.1,22.9,44.4,28.4,37.4,78.6,0.9
14.7,23.8,47.3,27.0,32.3,76.1,0.9
18.1,23.5,45.8,27.6,41.4,73.9,0.9
15.7,22.1,44.5,28.6,36.1,74.2,0.9
15.8,20.8,46.5,28.7,37.8,77.8,0.9
18.3,23.5,46.3,24.0,38.2,72.6,0.9
